bank_name,city,audience_type,interest_rate,loan_amount,tenure_years,emi_amount,total_interest,total_payment
SBI,Mumbai,Women Applicants,8.84,5000000,15,50239.0,4042936.0,9042936.0
SBI,Mumbai,Women Applicants,8.84,5000000,20,44473.0,5673539.0,10673539.0
SBI,Mumbai,Women Applicants,8.84,5000000,25,41413.0,7424007.0,12424007.0
SBI,Mumbai,Women Applicants,8.84,7500000,15,75358.0,6064403.0,13564403.0
SBI,Mumbai,Women Applicants,8.84,7500000,20,66710.0,8510309.0,16010309.0
SBI,Mumbai,Women Applicants,8.84,7500000,25,62120.0,11136010.0,18636010.0
SBI,Mumbai,Senior Citizens,8.99,3000000,15,30410.0,2473828.0,5473828.0
SBI,Mumbai,Senior Citizens,8.99,3000000,20,26972.0,3473397.0,6473397.0
SBI,Mumbai,Senior Citizens,8.99,3000000,25,25155.0,4546605.0,7546605.0
SBI,Mumbai,Senior Citizens,8.99,5000000,15,50684.0,4123046.0,9123046.0
SBI,Mumbai,Senior Citizens,8.99,5000000,20,44954.0,5788995.0,10788995.0
SBI,Mumbai,Senior Citizens,8.99,5000000,25,41926.0,7577675.0,12577675.0
SBI,Mumbai,Senior Citizens,8.99,7500000,15,76025.0,6184569.0,13684569.0
SBI,Mumbai,Senior Citizens,8.99,7500000,20,67431.0,8683493.0,16183493.0
SBI,Mumbai,Senior Citizens,8.99,7500000,25,62888.0,11366513.0,18866513.0
SBI,Mumbai,NRIs,9.09,3000000,15,30589.0,2505988.0,5505988.0
SBI,Mumbai,NRIs,9.09,3000000,20,27166.0,3519761.0,6519761.0
SBI,Mumbai,NRIs,9.09,3000000,25,25361.0,4608312.0,7608312.0
SBI,Mumbai,NRIs,9.09,5000000,15,50981.0,4176647.0,9176647.0
SBI,Mumbai,NRIs,9.09,5000000,20,45276.0,5866268.0,10866268.0
SBI,Mumbai,NRIs,9.09,5000000,25,42268.0,7680520.0,12680520.0
SBI,Mumbai,NRIs,9.09,7500000,15,76472.0,6264971.0,13764971.0
SBI,Mumbai,NRIs,9.09,7500000,20,67914.0,8799402.0,16299402.0
SBI,Mumbai,NRIs,9.09,7500000,25,63403.0,11520780.0,19020780.0
SBI,Mumbai,First Time Home Buyers,8.89,3000000,15,30232.0,2441760.0,5441760.0
SBI,Mumbai,First Time Home Buyers,8.89,3000000,20,26780.0,3427178.0,6427178.0
SBI,Mumbai,First Time Home Buyers,8.89,3000000,25,24950.0,4485089.0,7485089.0
SBI,Mumbai,First Time Home Buyers,8.89,5000000,15,50387.0,4069600.0,9069600.0
SBI,Mumbai,First Time Home Buyers,8.89,5000000,20,44633.0,5711964.0,10711964.0
SBI,Mumbai,First Time Home Buyers,8.89,5000000,25,41584.0,7475149.0,12475149.0
SBI,Mumbai,First Time Home Buyers,8.89,7500000,15,75580.0,6104400.0,13604400.0
SBI,Mumbai,First Time Home Buyers,8.89,7500000,20,66950.0,8567946.0,16067946.0
SBI,Mumbai,First Time Home Buyers,8.89,7500000,25,62376.0,11212724.0,18712724.0
SBI,Delhi,Salaried - IT/Corporate,9.04,3000000,15,30499.0,2489896.0,5489896.0
SBI,Delhi,Salaried - IT/Corporate,9.04,3000000,20,27069.0,3496561.0,6496561.0
SBI,Delhi,Salaried - IT/Corporate,9.04,3000000,25,25258.0,4577435.0,7577435.0
SBI,Delhi,Salaried - IT/Corporate,9.04,5000000,15,50832.0,4149827.0,9149827.0
SBI,Delhi,Salaried - IT/Corporate,9.04,5000000,20,45115.0,5827601.0,10827601.0
SBI,Delhi,Salaried - IT/Corporate,9.04,5000000,25,42097.0,7629058.0,12629058.0
SBI,Delhi,Salaried - IT/Corporate,9.04,7500000,15,76249.0,6224741.0,13724741.0
SBI,Delhi,Salaried - IT/Corporate,9.04,7500000,20,67673.0,8741402.0,16241402.0
SBI,Delhi,Salaried - IT/Corporate,9.04,7500000,25,63145.0,11443587.0,18943587.0
SBI,Delhi,Salaried - Government/PSU,8.99,3000000,15,30410.0,2473828.0,5473828.0
SBI,Delhi,Salaried - Government/PSU,8.99,3000000,20,26972.0,3473397.0,6473397.0
SBI,Delhi,Salaried - Government/PSU,8.99,3000000,25,25155.0,4546605.0,7546605.0
SBI,Delhi,Salaried - Government/PSU,8.99,5000000,15,50684.0,4123046.0,9123046.0
